id,name,KM 1,Precio 1,Precio 1 descuento,KM 2,Precio 2,Precios 2 descuneto,KM 3,Precio 3,Precios 3 descuneto,KM 4,Precio 4,stock,category,Destacadas,Image 1,Image 2,Image 3
0436,OLD PRINCE COR/ARR PUPPY ,15KG,89700,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/859vr1H1/OLD-PRINCE-COR-ARR-PUPPY-15KG.webp,https://i.postimg.cc/ZYXCS1TR/OLD-PRINCE-PUPPY-CORDERO-Y-ARROZ-INTEGRAL-TABLA-NUTRICIONAL.jpg,
,OLD PRIMCE PREMIUN ADULTO,3KG,15200,,,,,,,,,,3,PERRO,FALSE,,,
0454,OLD PRINCE PREMIUN ADULTO ,20KG,60000,,3KG,10200,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/mk4HSm0K/OLD-PRINCE-PREMIUN-ADULTO-20KG.webp,https://i.postimg.cc/Kck2xwW9/OLD-PRINCE-PREMIUN-ADULTO-POLLO-CARNE-TABLA-NUTRICIONAL.jpg,
0434,OLD PRINCE PREMIUN CACHORRO ,15KG,49800,,3KG,11000,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/053grL1H/OLD-PRINCE-PREMIUN-CACHORRO-15KG.webp,https://i.postimg.cc/j5hZbxbD/OLD-PRINCE-CACHORRO-POLLO-CARNE-TABLA-NUTRICIONAL.jpg,
0448,OLD PRINCE EQUILIBRIUM ADULTO ,"7,5KG",35200,,,,,,,,,,4,PERRO,FALSE,https://i.postimg.cc/wjrFkdF0/OLD-PRINCE-EQUILIBRIUM-ADULTO-7-5KG.webp,https://i.postimg.cc/rpKc5q6J/OLD-PRINCE-TABLA-NUTRICIOAL-EQUILIBRIUM-ADULTO-RAZA-PEQUENA.jpg,
0440,OLD PRINCE CACHORRO EQUILIBRUIM MED/GR ,15KG,63800,,3KG,15300,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/SsHJZDHj/OLD-PRINCE-CACHORRO-EQUILIBRUIM-MED-GR-3KG.webp,https://i.postimg.cc/8knFc2w3/OLD-PRINCE-EQUILIBRIUM-CACHORRO-MEDIANO-GRANDE-TABLA-NUTRICIONAL.jpg,
0438,OLD PRINCE EQUILIBRUIM POL/ARR ADULTO MED/GR,3KG,14300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/W4jm8bgy/OLD-PRINCE-EQUILIBRUIM-POL-ARR-ADULTO-MED-GR-3KG.webp,https://i.postimg.cc/mZjSc94J/OLD-PRINCE-EQUILIBRIUM-ADULTOMEDIANO-GRANDE-TABLA-NUTRICIONAL.jpg,
,OLD PRINCE EQUILIBRIUM PUPPIES RAZA PEQUEÑA ,3KG,16400,,"7,5KG",36200,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/J485dcXC/OLD-PRINCE-PUPPIES-RAZA-PEQUENA-3KG.webp,,
0444,OLD PRINCE PREMIUN GATO URINARY ,3KG,19200,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/3rpgsv1S/OLD-PRINCE-PREMIUN-GATO-URINARY-3KG.png,https://i.postimg.cc/LstYsv8D/OLD-PRINCE-PREMIUN-GATO-URINARY-TABLA-NUTRICIONAL.jpg,
0450,OLD PRINCE PREMIUN GATITO ,"7,5KG",42200,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/2SXbbkT2/OLD-PRINCE-PREMIUN-GATITO-7-5KG.webp,,
,OLD PRINCE GATITO COR/ARR ,1KG,12700,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/gjQ4nfJg/OLD-PRINCE-GATITO-COR-ARR-1KG.webp,,
,OLD PRINCE EQUILIBRIUM GATO URINARY ,3KG,26600,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/B6CdPQ9j/OLD-PRINCE-EQUILIBRIUM-GATO-URINARY-3KG.webp,,
,OLD PRINCE PREMIUN GATO ADULTO COR/ARR ,3KG,31400,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/2jhhrFDf/OLD-PRINCE-PREMIUN-GATO-ADULTO-COR-ARR-3KG.webp,,
,PAMPA CACHORRO ,3KG,11800,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/LXvM5X3R/PAMPA-CACHORRO-3KG.webp,,
,PAMPA ADULTO MED/GR,3KG,10000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/Bn0JnJv4/PAMPA-ADULTO-MED-GR-3KG.webp,,
,PAMPA ADULTO RAZA PEQUEÑA ,3KG,10000,,15KG,39200,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/QMbzkz9M/PAMPA-ADULTO-RAZA-PEQUENA-3KG.webp,,
,PAMPA GATO ADULTO ,10KG,41100,,3KG,15000,,"1,5KG",8400,,,,3,GATO,FALSE,https://i.postimg.cc/d04WTTpN/PAMPA-GATO-ADULTO-3KG.webp,,
,PEDIGREE ADULTO ,21KG,66600,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/50Fb71B4/PEDIGREE-ADULTO-21.webp,https://i.postimg.cc/2ytqY0fd/PEDIGREE-ADULTO-TABLA-NUTRICIONAL.jpg,
,PEDIGREE JUNIOR,21KG,70700,,,,,,,,,,0,PERRO,FALSE,https://i.postimg.cc/fT7YLSVq/PEDIGREE-JUNIOR-21KG.avif,https://i.postimg.cc/PJXbJ39C/PEDIGREE-CACHORRO.jpg,
1000,"PRO PLAN PERRO ADULTO SENIOR +7
",3KG,40000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/T3WqDdc5/PRO-PLAN-PERRO-ADULTO-RAZA-PEQUENA-7-ANOS-3KG.webp,,
1001,PRO PLAN ADULTO RAZA PEQUEÑA 3KG,3KG,32700,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/pXMFG1WJ/PROPLAN-ADULTO-RAZA-PEQUENA-3KG.webp,,
1002,PROPLAN CACHORRO RAZA PEQUEÑA 3KG,3KG,36000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/RVv0nrCs/PROPLAN-CACHORRO-RAZA-PEQUENA-3KG.webp,,
,PROPLAN GATO ADULTO ,1KG,20600,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/QxNr31np/PROPLAN-GATO-ADULTO-1KG.webp,,
,PROPLAN GATO URINARY,1KG,23500,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/QxNr31np/PROPLAN-GATO-ADULTO-1KG.webp,,
,POUCH GATO ADULTO ,85GR,1000,,,,,,,,,,12,ALIMENTOS HUMEDOS,FALSE,https://i.postimg.cc/y8hrXNkd/POUCH-GATO-ADULTO-85GR.jpg,,
,POUCH PERRO ADULTO POLLO ,100GR,1000,,,,,,,,,,12,ALIMENTOS HUMEDOS,FALSE,https://i.postimg.cc/sxc4GMT8/POUCH-PERRO-ADULTO-POLLO.jpg,,
,POUCH PERRO CACHORRO POLLO Y LECHE ,85GR,1000,,,,,,,,,,12,ALIMENTOS HUMEDOS,FALSE,https://i.postimg.cc/HWyG8d4Q/POUCH-PERRO-ADULTO-POLLO-85GR.webp,,
,RAZA ADULTO PEQUEÑA ,20KG,40000,,3KG,7700,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/Qx5VN2n2/RAZA-ADULTO-PEQUENA-3KG-20KG.webp,,
,RAZA GATO CACHORRO ,8KG,30800,,1KG,4600,,,,,,,3,GATO,FALSE,https://i.postimg.cc/C1j6xLk6/RAZA-GATO-CACHORRO-10KG.webp,,
,RAZA GATO CASTRADO ,10KG,39600,,1KG,4500,,,,,,,3,GATO,FALSE,https://i.postimg.cc/sxbBHy0z/RAZA-GATO-CASTRADO-10KG.webp,,
,RAZA GATO MIX ,10KG,33000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/tCXCysW3/RAZA-GATO-MIX-10KG.jpg,,
,RAZA GATO PESCADO ,10+1KG,33100,,1KG,4000,,,,,,,3,GATO,FALSE,https://i.postimg.cc/K8PNTs4w/RAZA-GATO-PESCADO-10-1KG.jpg,,
